name,mean,std,amin,amax
CryptalDash,1119611374.1581922,75724971.25949751,852298638,1486511177
Crypterium,19534913.984293193,405856.6102161076,18714136,20218950
Crypto Village Accelerator,14748646.826315789,1424803.1123796643,4146258,17201453
Crypto.com Coin,1698495888.9473684,57880195.32475394,1552637302,1799969326
Cryptoindex.com 100,23955279.256544504,199174.46042714367,22601185,24213996
Cryptonex,101461119.39790575,945877.0310431198,99309235,103661097
Curve DAO Token,39796469.28125,2153069.4569804645,36654786,44414272
CyberVein,103517437.15263158,5428430.789769237,89298859,117941531
DAD,21268059.295336787,393129.8909559551,19980910,22051102
DFI.Money,48408981.828125,2301682.432815202,45164822,53244443
DIA,29731821.901041668,1498844.033641867,27527545,32330223
DREP,12458753.630208334,282640.8211362411,11892866,12996134
Dai,950263174.1789473,7119605.522719444,937277283,959743035
Darico Ecosystem Coin,21451031.0,0.0,21451031,21451031
Darma Cash,59014298.32984293,1633651.7763108592,55245721,65422865
Darwinia Network,10228865.119791666,481171.4719799967,9337734,11049257
Dash,642257688.2736843,17190267.42856448,621322541,679696058
Davinci Coin,15131893.356020942,386333.92641944037,14423381,16231012
DeFiChain,75242175.2303665,1555539.1545786494,68981333,78468787
Decentraland,94351035.85263158,2856086.926133545,89024260,99781193
Decred,145753845.7,3028748.7286375645,141791100,152488385
Dent,15236275.109947644,356039.79883611045,14702911,16069553
DeviantCoin,18044884.945652176,4460846.440358714,8589704,28141561
DigiByte,269797225.7736842,7084087.55875299,254745811,281097188
Digitex Futures,33011950.140625,2895218.0460386765,26732359,37254773
DigixDAO,10803939.895833334,190245.877985494,10452415,11208237
Dimension Chain,10000703.322916666,83855.18517761806,9866859,10213532
Dinastycoin,10945765.609375,135022.0718962284,10689796,11172652
Divi,68915368.35416667,1919809.853724599,65454452,72369571
Doctors Coin,157754495.03664923,3490325.249961474,152536285,165720574
Dogecoin,320641576.3684211,3708171.172649656,311291592,328984529
Dragon Coins,16317551.846153846,24874.227608933073,16272196,16357257
Dragonchain,14235103.321243523,696312.9362532833,13118504,15473961
Dusk Network,13243784.234375,716850.5408380762,12108541,14657419
DxChain Token,71529362.91145833,1577541.843316869,68881785,76232632
Dynamic Trading Rights,19865531.057591625,202396.17226846915,19478625,20287749
EDC Blockchain v1 [old],158051495.13541666,2043185.8850460774,153436746,162165722
EOS,2257204502.568421,69328235.47718395,2132298906,2377673051
ERC20,17935659.0,727268.56787508,16607093,19892726
Ecoreal Estate,13816191.723958334,553714.5539570402,11992416,14499460
Einsteinium,9582775.15625,154575.84536603652,9211292,9933000
Elamachain,10831668.239583334,317835.3177816061,10008681,11845951
Elastos,26312223.390625,531841.6195636773,25025072,27778024
Electroneum,46025854.817708336,1570591.57729005,43487577,49970168
Elitium,18506845.14659686,242659.72437796503,18018676,19021379
Elrond,101635294.0,2078684.4956375682,98983487,106354901
Energi,54236930.598958336,2025017.5106157216,51228129,58785006
Energy Web Token,176277318.40526316,7439329.166677485,159412148,188382868
Enigma,10905817.364583334,254888.94639115012,10321376,11297761
Enjin Coin,100097598.3,3484472.3253342668,95115375,106340944
Envion,14154535.0,0.0,14154535,14154535
Ergo,17009329.465968587,1988477.5540778579,10091358,20272258
Eterbase Utility Token,820798528.0,0.0,820798528,820798528
Ethereum,43678556054.38947,865770902.1484007,42258192925,45594982141
Ethereum Classic,574762036.9631579,19177072.62111592,545148312,611854522
Etherisc DIP Token,14260167.105882352,242368.51154256563,14013619,15236104
Everipedia,19080205.890052356,564346.5653305025,18190616,20257776
Everus,74981458.57591623,16103401.840413544,23225128,94250079
ExtStock Token,24301991.790575918,482523.5638811657,23510090,25370018
FABRK,24693020.64921466,656644.5162364944,23582088,25707400
FNB Protocol,20280592.104712043,694552.8632689791,18823537,20982115
FTX Token,331658735.8473684,7266335.5888857655,322110367,346779710
Factom,8881286.666666666,457699.4304566405,8352946,9156897
Fantom,33734689.166666664,1593115.7748783657,31166431,36503418
Fetch.ai,30648378.3125,1972130.4038061416,28042042,34520109
Filecoin,787771477.9947368,16535127.35220263,757670601,830659460
