,ath,atl,market_rank,max_supply,name,roi,total_supply
326,0.147049,0.002947,387,1000000000 NOIA,noia-network,55.98%,1000000000 NOIA
327,8.54,0.094801,326,210000000 NULS,nuls,101.55%,111559670 NULS
328,99.79,1.93,90,11000000 NMR,numeraire,-28.47%,10976357 NMR
329,82.35,6.84,81,No Data,nxm,111.42%,7070478 NXM
330,2.16,0.000616,508,1000000000 NXT,nxt,-41.77%,998999942 NXT
331,999.72,9.29,329,1000000 GBYTE,obyte,35.62%,1000000 GBYTE
332,0.752522,0.013653,63,1410000000 OCEAN,ocean-protocol,1256.02%,613099141 OCEAN
333,7.51,1.25,53,No Data,okb,159.57%,300000000 OKB
334,28.35,0.319695,36,No Data,omg,445.31%,140245398 OMG
335,0.012884,0.000002,229,No Data,onotoken,1790.38%,75000000000 ONOT
336,10,0.224974,40,No Data,ontology,-83.99%,1000000000 ONT
337,0.082565,0.026542,283,1000000000 ORC,orbit-chain,-23.43%,1000000000 ORC
338,0.053365,0.004628,189,No Data,orbs,-72.29%,10000000000 ORBS
339,0.943733,0.105902,100,No Data,orchid,-44.21%,1000000000 OXT
340,0.638066,0.103215,366,No Data,origin-protocol,3.09%,1000000000 OGN
341,0.478831,0.003785,170,No Data,origintrail,-31.30%,500000000 TRAC
342,7.11,0.536295,349,No Data,orion-protocol,86.28%,100000000 ORN
343,1.17,0.198003,426,No Data,pancakeswap,-74.40%,53657720 CAKE
344,0.312386,0.051095,401,500000000 PRQ,parsiq,361.18%,500000000 PRQ
345,3487.68,1387.98,105,No Data,pax-gold,25.20%,37839 PAXG
346,1.1,0.872764,54,No Data,paxos-standard,0.10%,249952065 PAX
347,0.001407,2.10E-07,419,No Data,peepcoin,296.65%,180677730929 PCN
348,2.26,0.914193,400,No Data,perpetual-protocol,-49.90%,150000000 PERP
349,0.234452,0.088216,424,No Data,phala-network,0.83%,1000000000 PHA
350,0.296761,0.012739,926,200000000 ARRR,pirate-chain,-10.99%,171694968 ARRR
351,9.2,0.000422,375,No Data,pivx,> 9000%,56781166 PIVX
352,61.24,1.47,431,No Data,platincoin,-50.33%,603577982 PLC
353,0.523828,0.035079,515,300000000 PLTC,platoncoin,110.33%,300000000 PLTC
354,0.003235,0.000016,586,No Data,playchip,-65.08%,50000000000 PLA
