name,mean,std,amin,amax
Elastos,1752997.1510416667,171398.72878423383,498429.0,1964184.0
Electra,4071.0637500000016,2625.9686712137573,600.14,9827.55
Electroneum,1239309.6875,128498.7391218364,979995.0,1447928.0
Elrond,4059836.2291666665,706578.9060865759,2772664.0,6719175.0
Empty Set Dollar,770554.359375,513033.9789560202,173430.0,1792839.0
Energi,1445058.734375,520304.548091992,173007.0,2186879.0
Energy Web Token,602864.265625,138325.3258001005,332297.0,895578.0
Enigma,131452.78125,61912.05822637656,38172.0,220940.0
Enjin Coin,4322646.692708333,390103.8929604999,3789846.0,5341058.0
Ergo,133201.68229166666,30779.216535213647,51962.0,196103.0
Eterbase Utility Token,3291.196666666676,73.83534479983352,3187.05,3343.27
Ethereum,9381417269.588541,1039018290.460308,6203192297.0,15141889927.0
Ethereum Classic,435811380.2395833,234739451.87917352,372130666.0,3640548378.0
Etherisc DIP Token,161313.70833333334,31088.01675379306,94573.0,227451.0
Everex,188727.93229166666,80624.35994924711,89273.0,282112.0
FIO Protocol,768045.9947916666,58903.885907734395,667137.0,872471.0
FOAM,4536.350833333331,3571.9809848317086,65.11,10415.08
FTX Token,4328086.848958333,814804.2371497308,2869453.0,5706168.0
FUSION,3077764.7708333335,516225.22981756617,2178984.0,3834592.0
Factom,33295.171927083335,8052.736888575144,13763.57,56559.0
Fantom,6843819.03125,743247.5600558276,4589454.0,7864545.0
Ferrum Network,737393.1666666666,10450.734143927826,712507.0,752889.0
Fetch.ai,4067830.484375,658626.268080418,3182651.0,4917011.0
Filecoin,60907488.359375,8814601.716549937,41790006.0,75065948.0
First Blood,1021.5669270833329,557.8489948047267,387.43,2002.04
Force Protocol,1097914.46875,67671.738462935,848752.0,1195271.0
FunFair,400295.484375,44844.8132076973,218761.0,486444.0
GXChain,7189059.140625,1177938.2406396365,5210377.0,8768864.0
Gas,1807095.375,172576.88317941513,1054166.0,2080547.0
GateToken,12595092.494791666,4060681.1899923896,6115607.0,16073266.0
Gemini Dollar,1487140.953125,98712.46100661303,546416.0,1539521.0
Genesis Vision,279058.8333333333,26184.522466335773,224208.0,334841.0
Gifto,5377408.901162791,1030845.4723475914,136697.0,6590548.0
Gnosis,457077.59375,49773.555112380665,384411.0,616795.0
GoChain,110576.35416666667,28527.335716983995,57677.0,158619.0
Golem,5292662.078125,317647.62608715554,4801959.0,5957748.0
Gridcoin,1118.2251020408155,368.74555140491856,771.96,1715.35
Grin,5022503.015625,523453.89775172254,3721060.0,5778913.0
Groestlcoin,893675.703125,470591.04448504874,301416.0,1429520.0
HUNT,897772.6183206107,332524.2064651593,347156.0,1945360.0
HUSD,44172126.401041664,10062689.754921649,23799166.0,57185281.0
Hacken Token,104195.0,,104195.0,104195.0
Handshake,771648.6145833334,114445.59138665067,536222.0,929559.0
Harmony,4279916.854166667,1759936.2230914312,2433470.0,8206514.0
Harvest Finance,1076990.6302083333,130941.67134919694,823118.0,1289034.0
Hashgard,133725.375,34689.53398308126,63008.0,181885.0
Haven,228716.421875,70439.74124828078,98200.0,347532.0
Hedera Hashgraph,4026962.8385416665,1820175.4118561512,1169828.0,6364483.0
Hegic,1241307.546875,364090.9179767605,642806.0,2233612.0
Helium,1520972.7395833333,307180.2499054314,842629.0,2007602.0
Hive,1986023.109375,286041.1183581378,1514051.0,2417389.0
Holo,4593097.739583333,483173.3891835035,3726789.0,5337452.0
Horizen,2490231.1614583335,216185.56122521637,2120193.0,2787726.0
Huobi BTC,0.0,0.0,0.0,0.0
Huobi Token,212354312.15625,113112823.5448897,9256608.0,383454450.0
Hxro,255302.47395833334,131732.9051662041,21743.0,534160.0
Hycon,1038953.625,422684.0192051489,220348.0,1895999.0
HyperCash,6840413.515625,1729322.1838413272,3868311.0,10625828.0
Hyperion,159435.41145833334,37625.11774008778,98902.0,220159.0
Hyprr (Howdoo),553265.4322916666,44196.38844885521,452715.0,663808.0
I/O Coin,22697.9018382353,12577.061466098081,1868.93,53769.0
ICON,10988259.817708334,434811.40581870015,10191370.0,11778301.0
IDEX,221275.9375,18728.174449635197,184874.0,256219.0
INSTAR,9385.380520833338,11494.576725394312,8.93,34943.0
IONChain,83094.25789473685,8986.78945866699,66497.0,142209.0
IOST,31858204.322916668,3086388.2550440817,26973765.0,37093815.0
IOTA,7234275.630208333,704315.5836031848,6300664.0,8496934.0
IQeon,272242.1822916667,32676.665339826133,170867.0,326481.0
IRISnet,2909061.0677083335,298205.99597762275,2466998.0,3466863.0
Ignis,1732926.21875,80786.64460469881,1593518.0,1894034.0
Infinitecoin,2106.9,146.23647834928198,1731.08,2508.31
Injective Protocol,2444318.1354166665,348938.93704854435,1711472.0,3026834.0
IoT Chain,829699.359375,229666.8138777455,432979.0,1152200.0
IoTeX,2247369.4010416665,435222.6546076004,1224520.0,2787335.0
JUST,34295611.489583336,7195594.258200832,24303178.0,44037321.0
Kadena,528106.5677083334,130435.22991399941,284308.0,698164.0
KardiaChain,961736.5520833334,137554.84456497963,830141.0,1361055.0
Kava,21517655.578125,11827257.370625874,3818788.0,42776086.0
Keep Network,375490.5104166667,253438.82508288382,246045.0,1654788.0
Keep3rV1,21848109.546875,7655545.647721287,15429987.0,37536352.0
Kleros,467218.75,218593.52604902204,298881.0,985525.0
Komodo,2056561.1458333333,194062.03945812996,1485379.0,2395747.0
KuCoin Shares,6701096.614583333,724997.025978551,5653090.0,7842724.0
Kulupu,559611.21875,75153.33435729885,431377.0,738487.0
Kusama,26256607.53125,3010487.9442905914,17036973.0,31516281.0
Kyber Network,14353346.234375,1928953.3541894504,8967346.0,17627449.0
LBRY Credits,459249.21875,150400.8337772579,266562.0,692112.0
LCX,519492.09375,85874.92779009779,292045.0,703434.0
LEO Token,10014364.09375,465198.7540326405,9030351.0,10769679.0
LINKA,14708.187760416666,1317.4065228047352,11625.51,17009.86
LTO Network,3043657.8854166665,220613.8687840629,2630885.0,3368243.0
Lambda,5496050.625,766663.9813073429,4233817.0,6810593.0
Lamden,148381.2947368421,10016.854604975619,124465.0,168467.0
Leverj Gluon,11190.678359374999,5658.800347150574,1426.42,24395.0
LibraToken,1395391.9635416667,197534.7222250227,1055457.0,1748221.0
Lien,1434279.9427083333,83035.40039107812,945275.0,1571462.0
LikeCoin,133650.30729166666,43721.71900794603,79736.0,219049.0
Linkeye,3128429.8697916665,2574833.4368415726,530680.0,6507815.0
Lisk,2621830.7916666665,141211.95124098443,1947954.0,2849214.0
Litecoin,2092926725.1145833,224504891.15176073,1657857546.0,2423893569.0
Lition,239576.54545454544,44577.93113271105,169861.0,276204.0
Livepeer,12579.14869791666,6271.437796562838,1073.89,24913.0
LockTrip,3250.017447916665,1136.7301512572026,1327.36,6420.55
Loki Network,74018.5,7221.515860942424,32226.0,83967.0
Loom Network,2144739.2708333335,228066.6193505971,1879204.0,2548335.0
Loopring,49999145.213541664,13356860.398948057,23298958.0,67190215.0
MANTRA DAO,3523838.2760416665,1204030.7547505784,1366106.0,5061044.0
MATH,2197506.390625,487693.10542841064,1033878.0,2933716.0
MCO,18625130.739583332,2436972.2176016415,13027119.0,23436196.0
MX Token,2484552.578125,247824.56627763016,2069821.0,2903605.0
MXC,6338416.84375,2427610.095366924,2767637.0,10566071.0
MaidSafeCoin,213429.54166666666,38575.27196930836,147276.0,385106.0
Mainframe,1090008.3541666667,269663.9046846837,724381.0,1832652.0
Maker,31585677.916666668,3703166.2871047547,24672651.0,40577891.0
Matic Network,6324915.828125,754299.9479918093,5163608.0,7629396.0
Matrix AI Network,282299.99699248123,72416.19767765545,7948.75,373041.0
Measurable Data Token,361900.4739583333,60615.70372081816,153598.0,453792.0
Medibloc,144967.77604166666,34659.60808965729,93309.0,192285.0
Melon,1903330.765625,384857.70941376116,814818.0,2588119.0
Meta,4694058.895833333,452031.1654198488,3984462.0,5621231.0
Metal,5493782.114583333,3016947.01493063,2071534.0,9074968.0
Metaverse ETP,181984.27083333334,31582.949613229823,33034.0,226062.0
Metronome,320157.5729166667,64936.16168710877,210042.0,430458.0
Minter,22389.890364583334,2779.184276526955,17758.04,27518.0
Moeda Loyalty Points,260837.453125,75762.47154733758,126292.0,422971.0
MonaCoin,1258994.5677083333,234676.37270078008,772879.0,1626494.0
Monero,286143115.2760417,36582300.39946353,220750842.0,377684885.0
Monolith,204032.10416666666,6820.7770864023305,188287.0,216633.0
Morpheus Network,575000.1458333334,48295.5054118275,124699.0,630184.0
MovieBloc,1087238.8446601941,110739.78687576287,895475.0,1212879.0
NAGA,663.8966145833332,268.15273972981265,110.98,1307.41
NEM,21382607.692708332,2041918.0078814314,18636326.0,25966933.0
NEO,265971444.90104166,26520118.772908676,199303846.0,310105746.0
NEXO,7401627.5,1080016.0359715908,5551391.0,9084832.0
NKN,1016431.84375,120495.18278262582,855249.0,1363944.0
NOIA Network,264659.1458333333,25560.150793899706,209604.0,306415.0
NXT,1637776.1770833333,37967.70185688205,1488255.0,1717475.0
Namecoin,34764.401041666664,4372.182847136501,27414.0,40623.0
Nano,3969935.9791666665,677949.1031668861,2388230.0,5082818.0
Nash Exchange,42761.489583333336,9312.383119890344,28692.0,59743.0
NavCoin,127822.27083333333,24050.172187551438,103246.0,170440.0
Neblio,71568.11979166667,39264.56480853157,37968.0,188950.0
Nebulas,1969647.453125,294690.4185186899,1411593.0,2332729.0
Nectar Token,533117.3541666666,44975.91959415489,246552.0,574424.0
Nervos Network,3616493.7760416665,480334.25463322864,2817911.0,4316089.0
Nest Protocol,24835527.0625,1273732.0476695574,22222150.0,28554668.0
Newscrypto Coin,575068.1041666666,35876.6537467249,525770.0,638919.0
Nexus,62959.307291666664,17332.309091530304,29975.0,94756.0
Nexus Mutual,1251937.9583333333,646228.8817453305,500599.0,2289861.0
Nice,41605.833333333336,1688.656675190864,38647.0,42743.0
Nimiq,978100.4270833334,81673.12060203304,845714.0,1125852.0
Nuco.Cloud,3212.3584374999987,3099.0282905068716,446.56,11768.82
Nuls,7428058.790575916,368767.5240590041,6621240.0,7967907.0
Numeraire,4691435.619791667,1048800.4700848768,2734011.0,8471168.0
ODEM,74554.13363636364,8660.616578311947,321.91,82421.0
OKB,35472067.666666664,2095367.328026321,30391208.0,39505735.0
OMG Network,166097393.78125,13539839.879594697,145791249.0,199041181.0
OST,385934.6145833333,129222.21854419685,184183.0,560649.0
Obyte,11810.948125,3235.8358178204385,7892.32,19462.85
Ocean Protocol,27255178.114583332,4331419.2582894,20733663.0,34136841.0
Oduwa Coin,6055.039652777777,1755.7455721187405,16.75,7914.54
Ontology,87093012.69791667,7500536.525196006,59224221.0,97638882.0
Orbs,122286.05208333333,22520.948834256036,53757.0,152350.0
Origin Protocol,4696204.088541667,926381.3712428706,3483844.0,6071160.0
OriginTrail,129600.453125,28331.62768895645,48166.0,183520.0
Orion Protocol,2266561.9114583335,334228.04698005546,999797.0,2754335.0
PAC Global,2934.1969791666656,2563.5714091993073,201.73,7978.4
